,event_name,video_id,title,url_thumb,tags,view_count,like_count,dislike_count,comment_count,created,blurriness,brightness,contrast,overexposure,entropy,avg_color,word_count,punctuation_count,character_count,google_hits,sentiment_vader,sentiment_blob_polarity,sentiment_blob_subjectivity
227,TEDxRiodelaPlata2017,d303b60a-7889-4c5a-9a35-310db24b3f64,Neuronas y aprendizaje | Diego Gutnisky | TEDxRiodelaPlata,https://i.ytimg.com/vi/9L9wyN8Axi0/hqdefault.jpg,"TEDxTalks,Spanish,Science (hard),Brain,Learning,Neuroscience,Science",4390,88,6,10,2017-12-18 19:53:25,228.53949652768466,0.20864902072482613,0.0,0.0,3.7977859562343634,"(95.88666087962963, 34.358472222222225, 43.38683449074074)",6,2,58,2030,0.0,0.0,0.0
228,TEDxRiodelaPlata2016,35fc493e-591e-47b1-8b78-cfa00e74abb4,Con las manos en la taza | Lucía Gagliardini | TEDxRíodelaPlata,https://i.ytimg.com/vi/VImydL4qnUk/hqdefault.jpg,TEDx,4222,81,8,3,2017-10-06 13:55:15,132.3078100588133,0.16161645959924772,0.0,0.0,4.172720052115442,"(61.68819444444444, 33.45641203703704, 33.191556712962964)",9,2,63,2380,0.0,0.0,0.0
229,TEDxRiodelaPlata2012,04a7b53b-6c96-4610-93fc-d8cb7558979b,El lado sucio de la limpieza | David Pizarro | TEDxRiodelaPlata,https://i.ytimg.com/vi/NG5QDPB4hpk/hqdefault.jpg,"psychology,Spanish,Community,ted talks,Argentina,TEDxRiodelaPlata,Comunidad,tedx talks,TEDx,Asco,ted,ted talk,Science,tedx talk,Cultura,Disgust,Culture,Buenos Aires,Salud,TEDxRíodelaPlata,Health,tedx,David Pizarro,Español,Ciencia,Psicología,ted x",3919,16,1,0,2017-09-13 14:17:45,697.6784527487083,0.16408741138599517,0.0,0.0,4.1549241786831885,"(57.87089699074074, 37.54440393518519, 26.709473379629628)",9,2,63,72700,0.0,0.0,0.0
230,TEDxRiodelaPlata2016,7ee61bcd-f8d0-48c9-98cc-fc729d1e4bb5,¿Cómo romper la piñata de la ciencia? | Pablo Meyer Rojas | TEDxRíodelaPlata,https://i.ytimg.com/vi/it4Ue3OKic8/hqdefault.jpg,TEDx,3906,73,9,3,2017-10-06 13:55:17,102.37555485744582,0.13497836642795147,0.0,0.0,3.8669093375594983,"(47.859780092592594, 29.82903935185185, 28.55318287037037)",11,3,76,4460,0.0,0.0,0.0
231,TEDxRiodelaPlata2015,f2604f9d-b716-4da7-b8b4-c0a820d7d24c,Dinosaurios escritos en las rocas | Diego Pol | TEDxRiodelaPlata,https://i.ytimg.com/vi/ZG11lQpsJB4/hqdefault.jpg,"TEDxTalks,Spanish,Argentina,Science (hard),Dinosaurs,Geology,Paleontology,Science",3728,55,3,3,2017-10-06 13:55:07,211.59078510176954,0.20590390805844885,0.0,0.0,4.384249592329867,"(46.62650462962963, 53.64027199074074, 67.78008101851852)",8,2,64,61100,0.0,0.0,0.0
232,TEDxRiodelaPlataSalon2016,ecd33aea-e115-4bc8-9ca7-ee6a4cff0e73,"Relatos en red, fogones virtuales | Anna Kazumi Stahl | TEDxRiodelaPlataSalon",https://i.ytimg.com/vi/kVuDBc5z880/hqdefault.jpg,"TEDxTalks,Spanish,Argentina,Art,Culture,Future,Literature,Technology",3468,30,3,3,2017-10-06 13:57:17,69.17586286685471,0.15461509422019667,0.0,0.0,3.996369905780973,"(49.43710648148148, 36.5146875, 32.73521412037037)",9,3,77,135,0.0,0.0,0.0
233,TEDxJoven@RiodelaPlata 2011,ce173cbc-4d27-4459-9c5a-eda71f45c156,TEDxJoven@RiodelaPlata - Luciano Marasco - Plantas carnívoras,https://i.ytimg.com/vi/7lmQ_aC2wtM/hqdefault.jpg,"Luciano,Marasco,Argentina,Buenos Aires,Spanish,Español,Castellano,TEDxRíodelaPlata,TEDxRiodelaPlata,TEDxJoven@RíodelaPlata,TEDxJoven@RiodelaPlata,TEDxYouth,TEDxJoven,Konex,Biología,Biology,Education,Educación,Hobby",3240,5,5,2,2017-09-08 18:01:04,238.12172902716677,0.16556084526909706,0.0,0.0,3.7603895141606074,"(38.64247106481481, 42.47939814814815, 54.86282986111111)",6,3,61,85,0.0,0.0,0.0
234,TEDxRiodelaPlata2017,14c6e117-14aa-4ae8-aed5-f9bd7fa4a96c,El barro de las ideas | Leandro Panetta | TEDxRiodelaPlata,https://i.ytimg.com/vi/u_694JfFUXA/hqdefault.jpg,"TEDxTalks,Spanish,Entertainment,Art,Creativity,Theater",3210,73,2,1,2017-11-21 23:02:39,87.45905864196043,0.20322708695023145,0.0,0.0,3.974793595807059,"(99.33524305555555, 30.87785300925926, 40.51097800925926)",8,2,58,18500,0.0,0.0,0.0
235,TEDxJoven@RiodelaPlata 2012,772723fb-2251-4808-a2c0-01e400c08016,TEDxJoven@RíodelaPlata - Mariana Rúfolo - Circo Social del Sur,https://i.ytimg.com/vi/JFgYg52P7NU/hqdefault.jpg,"Argentina,Español,Spanish,TEDxRíodelaPlata,Educación,Education,Entretenimiento,Entretainment,Cambio social,Social change,Performance,Comunidad,Community,Danza,Dance",3043,29,1,0,2017-09-08 18:33:51,545.0809848700203,0.15776466652199084,0.0,0.0,4.37652577418148,"(14.81117476851852, 43.50521412037037, 94.79686342592592)",8,3,62,171,0.0,0.03333333333333333,0.06666666666666667
236,TEDxRiodelaPlata2011,26b1d5dd-6ab3-4838-a987-3d4b2e176845,Músicas del instante | El Diablo en la Boca | TEDxRíodelaPlata,https://i.ytimg.com/vi/E3_2tnyRAgg/hqdefault.jpg,"Entretainment,Entretenimiento,Música,Español,TEDxRíodelaPlata,Argentina,ted talks,tedx talk,tedx talks,Spanish,Music,tedx,Performance,ted x,ted talk,ted,Improvisación",2626,7,3,1,2017-09-13 13:55:46,1179.9727383808222,0.37074677643952586,0.0,0.0,4.75702175056079,"(109.50338541666666, 91.04512152777778, 80.11395254629629)",9,2,62,146000,0.0,0.0,0.0
